Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
igridstore	1339.00	429		0.0	1.0	4.5	91%	1	0	0
Appario Retail Private Ltd	1557.00	302,439		218.0	1.1628	4.5	93%	1	1	1
