Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Appario Retail Private Ltd	2499.00	302,337		0.0	1.0	4.5	93%	1	1	1
best_buyaxz	2500.00	1,949		1.0	1.0004	4.5	92%	1	0	0
XANDZERO	2899.00	628		400.0	1.1601	4.5	87%	1	0	0
Deal Square	2900.00	1		401.0	1.1605	5	100%	0	0	0
