Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
SUKLO	899.00	277		0.0	1.0	4.5	83%	1	0	1
itglobal	899.00	602		0.0	1.0	4.5	89%	0	0	0
