Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Appario Retail Private Ltd	399.00	302,362		0.0	1.0	4.5	93%	1	1	1
RAYS BROTHERS	479.00	5		80.0	1.2005	5	100%	1	0	0
True Accessories	494.00	196		95.0	1.2381	4.5	91%	1	0	0
Billionairre	525.00	3		126.0	1.3158	3.5	33%	1	0	0
Resonance world	599.00	350		200.0	1.5013	4.5	89%	1	0	0
