Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
XCSOURCE Direct	899.00	126		0.0	1.0	5	98%	1	0	1
G G	2226.00	4,506	11-19 days	1327.0	2.4761	4.5	87%	0	0	0
Cart2India SLP	2548.00	1,333	11-19 days	1649.0	2.8343	3	53%	0	0	0
