Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Appario Retail Private Ltd	409.00	302,360		0.0	1.0	4.5	93%	1	1	1
LIFESTYLES	590.00	897		181.0	1.4425	4.5	89%	1	0	0
LIFESTYLES	590.00	897	2-6 days	181.0	1.4425	4.5	89%	0	0	0
