Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Cambium Retail	7331.00	8,886		0.0	1.0	4.5	90%	1	0	1
Panoply Digital	7331.00	153	6-8 days	0.0	1.0	4.5	92%	0	0	0
STS Shop	10791.00	1,155	10-17 days	3460.0	1.472	4	76%	0	0	0
Cart2India SLP	20459.00	1,333	11-19 days	13128.0	2.7908	3	53%	0	0	0
