Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Sampark Multi Brand Mobile Store	3999.00		5-6 days	0.0	1.0			0	0	0
24X7 SHOPPING ONLINE	4900.08	3,017		901.08	1.2253	4.5	93%	1	0	1
Gadget World's	7299.00			3300.0	1.8252			1	0	0
