Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Online India	568.00	4,357		0.0	1.0	3.5	68%	1	0	1
KEI HiFi	569.00	115		1.0	1.0018	3.5	67%	1	0	0
DIXIT COMPUTERS	569.00		6-8 days	1.0	1.0018			0	0	0
zenithtraders	1299.00	378	6-8 days	731.0	2.287	4.5	90%	0	0	0
