Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
STAR-MARK	1798.00	1,159		0.0	1.0	4	72%	1	0	1
e-Bazar	1799.00	44		1.0	1.0006	3	52%	1	0	0
ShivaSheesh	1826.00	54		28.0	1.0156	3	50%	1	0	0
SooperDeal	1827.99	53		29.99	1.0167	3.5	53%	1	0	0
