Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Appario Retail Private Ltd	19880.00	302,154		0.0	1.0	4.5	93%	1	1	1
V direct	29533.00	20	16-23 days	9653.0	1.4856	4	80%	0	0	0
Cart2India SLP	32784.00	1,333	11-19 days	12904.0	1.6491	3	53%	0	0	0
Kiron	60845.00	476	11-19 days	40965.0	3.0606	5	100%	0	0	0
