Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Alphatec Audio Video Pvt Ltd	9399.00	1		0.0	1.0	5	100%	1	0	1
e9accessories	9600.00	9,670		201.0	1.0214	4.5	92%	1	0	0
Bajaao	9700.00	3,541		301.0	1.032	4.5	93%	1	0	0
Peach Imports	19999.00	498	19-26 days	10600.0	2.1278	4.5	84%	0	0	0
