Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
The Technology Touch	890.00	60	5-7 days	0.0	1.0	4	73%	0	0	0
Appario Retail Private Ltd	899.00	302,243		9.0	1.0101	4.5	93%	1	1	1
