Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Bhavya Mobile	978.00	91		0.0	1.0	3	53%	1	0	0
Appario Retail Private Ltd	978.00	302,361		0.0	1.0	4.5	93%	1	1	1
