Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
True Accessories	1499.00	196		0.0	1.0	4.5	91%	1	0	0
Cannycom Store	1499.00	696		0.0	1.0	4.5	93%	1	0	0
Appario Retail Private Ltd	1499.00	302,357		0.0	1.0	4.5	93%	1	1	1
Olympia Electronics SLP	1499.00	727		0.0	1.0	4	80%	1	0	0
