Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
STAR-MARK	7690.00	1,158		0.0	1.0	4	72%	1	0	1
MrDeal	7999.00	16		309.0	1.0402	4	79%	1	0	0
