Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
ShivaSheesh	1321.60	54		0.0	1.0	3	50%	1	0	0
e-Bazar	1321.60	44		0.0	1.0	3	52%	1	0	1
ShivaSheesh	1321.60	54		0.0	1.0	3	50%	1	0	0
Cambium Retail	2190.00	8,886		868.4	1.6571	4.5	90%	1	0	0
