Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
TPS Technologies	9999.00	5,368		0.0	1.0	4.5	93%	1	0	0
WEB-TAIL	9999.00	8,105		0.0	1.0	4	83%	1	0	1
on the web	11900.00	10,867		1901.0	1.1901	4	82%	1	0	0
Extender	11900.00	201		1901.0	1.1901	4.5	90%	1	0	0
Appario Retail Private Ltd	12993.00	302,155		2994.0	1.2994	4.5	93%	1	1	0
