Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
JMD STORES	558.00	28	5-7 days	39.0	1.0751	3.5	67%	0	0	0
Hari Om Mobile	590.00	388		71.0	1.1368	4.5	97%	1	0	1
FK INFOSYSTEMS	519.00		5-7 days	0.0	1.0			0	0	0
