Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Appario Retail Private Ltd	8999.00	302,275		0.0	1.0	4.5	93%	1	1	1
UniqueClick	9870.00	2,193		871.0	1.0968	4	81%	1	0	0
