Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Audio Lifestyle	849.00	85	11-12 days	0.0	1.0	4	76%	0	0	0
Appario Retail Private Ltd	934.00	302,315		85.0	1.1001	4.5	93%	1	1	1
Express Delivery Retail	935.00	849		86.0	1.1013	4	83%	1	0	0
ecomstars	949.00	2,859		100.0	1.1178	4	82%	1	0	0
yash2225	1399.00	130		550.0	1.6478	3.5	66%	1	0	0
