Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
MUZILI	1299.00	943		0.0	1.0	5	99%	1	0	1
MUZILI	1399.00	943		100.0	1.077	5	99%	1	0	1
