Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Applon	849.00	44	5-7 days	0.0	1.0	4.5	89%	0	0	0
Express Delivery Retail	850.00	849		1.0	1.0012	4	83%	1	0	1
aabhu	933.00	2,026		84.0	1.0989	4	86%	0	0	0
FotoCart dot in	990.00	398		141.0	1.1661	4.5	86%	1	0	0
Tipshi online	964.00	113	5-7 days	115.0	1.1355	3.5	60%	0	0	0
MSAssured	980.00	23		131.0	1.1543	3	54%	0	0	0
Samrat international	990.00	7	5-7 days	141.0	1.1661	4.5	86%	0	0	0
EXECLUSIVE STORE	980.00	31	5-7 days	131.0	1.1543	4	81%	0	0	0
