Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Hoppokart	214.00	15		0.0	1.0	4	73%	0	0	1
Everything4u1	238.00	204		24.0	1.1121	4	74%	0	0	0
