Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
e-Bazar	799.00	44		0.0	1.0	3	52%	1	0	1
ACE E-Tail	799.00	880		0.0	1.0	4.5	92%	1	0	0
e-Bazar	819.00	44		20.0	1.025	3	52%	1	0	1
MrDeal	909.00	16		110.0	1.1377	4	79%	1	0	0
