Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Appario Retail Private Ltd	1799.00	302,274		0.0	1.0	4.5	93%	1	1	1
MPEnterprises	1799.00	4,881		0.0	1.0	4.5	94%	1	0	0
Ace Technologies	1950.00	93		151.0	1.0839	4	78%	1	0	0
Classic Network and Computers	2509.00	1,925		710.0	1.3947	4	83%	1	0	0
Classic Network and Computers	2509.00	1,925	5-7 days	710.0	1.3947	4	83%	0	0	0
