Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Annova India Electronic Pvt Ltd	1076.00	2	6-7 days	0.0	1.0	4.5	100%	0	0	1
G G	1690.00	4,510	10-18 days	614.0	1.5706	4.5	86%	0	0	0
Cart2India SLP	2136.00	1,334	10-18 days	1060.0	1.9851	3	53%	0	0	0
Echom	2901.00	37	13-20 days	1825.0	2.6961	4	82%	0	0	0
