Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Sujav Consultants	599.00	156		0.0	1.0	5	95%	1	0	1
Appario Retail Private Ltd	626.00	302,345		27.0	1.0451	4.5	93%	1	1	0
