Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Appario Retail Private Ltd	1499.00	302,285		0.0	1.0	4.5	93%	1	1	1
UniqueClick	1549.00	2,193		50.0	1.0334	4	81%	1	0	0
Celestial Retail	1598.00	16		99.0	1.066	4.5	88%	1	0	0
Comet Busters®	1599.00	325		100.0	1.0667	4.5	94%	1	0	0
NavkarElectronics	1799.00	37	5-7 days	300.0	1.2001	3.5	59%	0	0	0
