Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
ROBINENTERPRISE	545.00	13	3-7 days	21.0	1.0401	1.5	8%	0	0	0
Mastermind eshopping	524.00	85	5-7 days	0.0	1.0	3	53%	0	0	0
A to Z GARMENTS	579.00	6		55.0	1.105	3.5	67%	0	0	0
ZERNA	599.00	130	5-7 days	75.0	1.1431	2.5	33%	0	0	0
MAGIC GIFTS ONLINE	699.00	28		175.0	1.334	3	48%	0	0	1
Screencart	899.00	226		375.0	1.7156	3.5	61%	1	0	0
CLOUDTAILS INC	2000.00	1	8-11 days	1476.0	3.8168	1	0%	0	0	0
