Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
EvyTech	199.00			0.0	1.0			1	0	1
EXECLUSIVE STORE	218.00	31		19.0	1.0955	4	81%	0	0	0
clicknsave	299.00	773	6-7 days	100.0	1.5025	4.5	81%	0	0	0
UniqueClick	399.00	2,193		200.0	2.005	4	80%	1	0	0
Cloudtrade	399.00	235	6-7 days	200.0	2.005	4	84%	0	0	0
