Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
EXCLUSIVE ONLINE GALLERY	270.00	207	4-6 days	0.0	1.0	2.5	42%	0	0	1
WESTOFBESTENTERPRISES	499.00		6-7 days	229.0	1.8481			0	0	0
