Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Appario Retail Private Ltd	2298.00	302,303		0.0	1.0	4.5	93%	1	1	1
Archies for you	2299.00	486		1.0	1.0004	4.5	98%	1	0	0
KOP TECHNOS	2299.00	623		1.0	1.0004	4.5	83%	1	0	0
Bhavya Mobile	2299.00	91		1.0	1.0004	3	53%	1	0	0
ACE E-Tail	2299.00	880		1.0	1.0004	4.5	92%	1	0	0
e9accessories	2799.00	9,671		501.0	1.218	4.5	92%	1	0	0
