Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Peach Imports	27999.00	498	13-20 days	0.0	1.0	4.5	84%	0	0	1
Cart2India SLP	30336.00	1,333	11-19 days	2337.0	1.0835	3	53%	0	0	0
Kiron	52355.00	476	11-19 days	24356.0	1.8699	5	100%	0	0	0
