Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Headphone Zone Pvt Ltd	2199.00	67		0.0	1.0	4	72%	1	0	1
STS Shop	4800.00	1,155	10-17 days	2601.0	2.1828	4	76%	0	0	0
Doonmac	7875.00		8-15 days	5676.0	3.5812			0	0	0
G G	7875.00	4,506	11-19 days	5676.0	3.5812	4.5	87%	0	0	0
