Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Smart- shoppers	6989.00	95		0.0	1.0	3.5	69%	1	0	1
on the web	6990.00	10,867		1.0	1.0001	4	81%	1	0	0
Kiron	26240.00	476	10-18 days	19251.0	3.7545	5	100%	0	0	0
