Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
ICON STORE	6711.00	259	22-30 days	0.0	1.0	5	97%	0	0	0
G G	7796.00	4,507		1085.0	1.1617	4.5	86%	1	0	1
Doonmac	8043.00		7-14 days	1332.0	1.1985			0	0	0
G G	8043.00	4,507	10-18 days	1332.0	1.1985	4.5	86%	0	0	1
Cart2India SLP	10548.00	1,334	10-18 days	3837.0	1.5717	3	53%	0	0	0
Kiron	19215.00	476	10-18 days	12504.0	2.8632	5	100%	0	0	0
