Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Think Of Us	459.00	546	5-7 days	0.0	1.0	3	50%	0	0	0
Versatile Traders	749.00	95		290.0	1.6318	4.5	84%	1	0	1
RGD e-store	750.00	3	5-7 days	291.0	1.634	4.5	100%	0	0	0
