Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
MARKET YARD	25739.00	326	18-25 days	0.0	1.0	5	98%	0	0	1
Peach Imports	25999.00	498	13-20 days	260.0	1.0101	4.5	84%	0	0	0
Kiron	55010.00	476	10-18 days	29271.0	2.1372	5	100%	0	0	0
