Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Peach Imports	5999.00	498	13-20 days	0.0	1.0	4.5	84%	0	0	1
MARKET YARD	6199.00	326	18-25 days	200.0	1.0333	5	98%	0	0	0
Cart2India SLP	6548.00	1,334	10-18 days	549.0	1.0915	3	53%	0	0	0
