Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Xtreme Focus	2700.00	452	5-7 days	0.0	1.0	4.5	95%	0	0	0
Discount_Store_	2740.00	71		40.0	1.0148	4.5	90%	0	0	0
Express Deal	2890.00	634		190.0	1.0704	5	98%	1	0	1
RADIO & GRAMOPHONE HOUSE	2990.00	742		290.0	1.1074	4.5	83%	0	0	0
