Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Cool Collectives	1845.00			0.0	1.0			0	0	0
Rahul Communications Karad	1850.00		7-8 days	5.0	1.0027			0	0	0
Appario Retail Private Ltd	1885.00	302,372		40.0	1.0217	4.5	93%	1	1	1
Hasija Associates	1890.00	94	7-8 days	45.0	1.0244	4.5	86%	0	0	0
