Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Brainwavz Audio India	1499.00	651		0.0	1.0	4.5	94%	1	0	1
Brainwavz Audio India	1499.00	651	5-6 days	0.0	1.0	4.5	94%	0	0	1
Peach Imports	3999.00	498	13-20 days	2500.0	2.6678	4.5	84%	0	0	0
G G	4305.00	4,505	11-19 days	2806.0	2.8719	4.5	87%	0	0	0
