Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Appario Retail Private Ltd	1749.00	302,155		0.0	1.0	4.5	93%	1	1	1
Extender	1990.00	201		241.0	1.1378	4.5	90%	1	0	0
A1Price A1Products	1999.00	7,008		250.0	1.1429	4.5	90%	1	0	0
RADIO & GRAMOPHONE HOUSE	2490.00	742		741.0	1.4237	4.5	83%	0	0	0
