Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Guwahati Delight	4190.00	24		0.0	1.0	4.5	92%	0	0	0
StarkeConnect	4699.00	166		509.0	1.1215	4.5	88%	1	0	1
Peach Imports	5999.00	498	12-19 days	1809.0	1.4317	4.5	84%	0	0	0
Kiron	14030.00	476	10-18 days	9840.0	3.3484	5	100%	0	0	0
