Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
A to Z GARMENTS	549.00	6	6-7 days	0.0	1.0	3.5	67%	0	0	1
ZERNA	599.00	130		50.0	1.0911	2.5	33%	0	0	0
A to Z GARMENTS	599.00	6	6-7 days	50.0	1.0911	3.5	67%	0	0	1
A to Z GARMENTS	619.00	6	6-7 days	70.0	1.1275	3.5	67%	0	0	1
