Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Appario Retail Private Ltd	299.00	302,375		0.0	1.0	4.5	93%	1	1	1
LEVEL11	499.00			200.0	1.6689			1	0	0
GXGW	599.00	9	6-7 days	300.0	2.0033	3	44%	0	0	0
