Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
NavkarElectronics	4890.00	37	5-7 days	0.0	1.0	3.5	59%	0	0	0
OMNI RETAIL	5395.00	229		505.0	1.1033	4.5	84%	1	0	0
Best in Tech	5400.00	252		510.0	1.1043	4.5	94%	1	0	1
Digital Xpert	5450.00	1,034		560.0	1.1145	5	97%	1	0	0
The-EStore	6490.00	154	1-4 days	1600.0	1.3272	4.5	83%	0	0	0
