Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Xtreme Focus	4230.00	452	5-7 days	0.0	1.0	4.5	95%	0	0	1
Discount_Store_	4290.00	71		60.0	1.0142	4.5	90%	0	0	0
NavkarElectronics	4570.00	37	5-7 days	340.0	1.0804	3.5	59%	0	0	0
OMNI RETAIL	4990.00	229		760.0	1.1797	4.5	84%	1	0	0
Digital Xpert	4990.00	1,034		760.0	1.1797	5	97%	1	0	0
Electric-Deals	4990.00	1,303		760.0	1.1797	4.5	94%	1	0	0
The-EStore	6490.00	154	1-4 days	2260.0	1.5343	4.5	83%	0	0	0
