Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
EXCLUSIVE ONLINE GALLERY	270.00	207	4-6 days	0.0	1.0	2.5	42%	0	0	1
as international	285.00	83	4-6 days	15.0	1.0556	4	81%	0	0	0
as international	349.00	83	4-6 days	79.0	1.2926	4	81%	0	0	0
WESTOFBESTENTERPRISES	699.00		6-7 days	429.0	2.5889			0	0	0
