Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
easy audio	1899.00	3		0.0	1.0	5	100%	1	0	1
Cart2India SLP	5348.00	1,334	10-18 days	3449.0	2.8162	3	53%	0	0	0
