Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
A1Price A1Products	7990.00	7,008		0.0	1.0	4.5	90%	1	0	0
Raj Musicals India	7990.00	123		0.0	1.0	4.5	85%	1	0	0
ProAudioVideo	7990.00	292		0.0	1.0	3.5	67%	0	0	0
Blueberry India	8100.00	348		110.0	1.0138	4.5	90%	1	0	0
Appario Retail Private Ltd	8606.00	302,154		616.0	1.0771	4.5	93%	1	1	1
