Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Quantum Retail	2999.00	3	4-6 days	0.0	1.0	4	100%	0	0	0
Appario Retail Private Ltd	4999.00	302,340		2000.0	1.6669	4.5	93%	1	1	1
