Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Appario Retail Private Ltd	4999.00	302,155		0.0	1.0	4.5	93%	1	1	1
e9accessories	5585.00	9,670		586.0	1.1172	4.5	92%	1	0	0
Mega_tronics	6299.00	2,755		1300.0	1.2601	4	85%	1	0	0
