Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
mYnI	1499.00	49		0.0	1.0	4.5	88%	1	0	1
THE IT MALL	1615.00	2	5-6 days	116.0	1.0774	1	0%	0	0	0
Classic Network and Computers	1749.00	1,925		250.0	1.1668	4	83%	1	0	0
