Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Tipshi online	999.00	113	5-7 days	0.0	1.0	3.5	60%	0	0	1
D'JazZ™	1098.00	210	5-7 days	99.0	1.0991	4	80%	0	0	0
Mannat Enterprises 	1166.00		1-4 days	167.0	1.1672			0	0	0
Quick-Buy	1200.00		5-7 days	201.0	1.2012			0	0	0
PI world	1599.00	758		600.0	1.6006	4	75%	0	0	0
