Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Appario Retail Private Ltd	379.00	302,378		0.0	1.0	4.5	93%	1	1	1
Techretailer	569.00	142		190.0	1.5013	4.5	90%	1	0	0
Flexy Zone	695.00	83		316.0	1.8338	4.5	86%	0	0	0
Nakoda Cellular	849.00	6	6-7 days	470.0	2.2401	3	50%	0	0	0
