Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Appario	1426.99	928		0.0	1.0	4	71%	1	0	1
SooperDeal	1427.99	53		1.0	1.0007	3.5	53%	1	0	0
