Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
BEYOND TOYS AND GIFTS	1675.00	8,504		0.0	1.0	4.5	96%	1	0	1
Cannycom Store	1781.00	696		106.0	1.0633	4.5	93%	1	0	0
