Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Appario Retail Private Ltd	956.00	302,431		0.0	1.0	4.5	93%	1	1	1
I pIck Services	1112.00			156.0	1.1632			0	0	0
PLAYMAX	1350.00	202	4-6 days	394.0	1.4121	5	100%	0	0	0
best_buyaxz	1390.00	1,949		434.0	1.454	4.5	92%	1	0	0
SpecialtyDistribution	1490.00		4-6 days	534.0	1.5586			0	0	0
