Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
GRONEXT	590.00	35		25.0	1.0442	4.5	88%	1	0	1
Saitrad	650.00		6-8 days	85.0	1.1504			0	0	0
Sit N Shop	565.00	75	5-6 days	0.0	1.0	3.5	64%	0	0	0
Clean Air Shoppie	690.00	2	5-6 days	125.0	1.2212	3	50%	0	0	0
