Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Guwahati Delight	3738.00	24		0.0	1.0	4.5	92%	0	0	0
Peach Imports	3999.00	498	11-18 days	261.0	1.0698	4.5	84%	0	0	1
