Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Cannycom Store	899.00	696		0.0	1.0	4.5	93%	1	0	1
Gadget House India	1699.00	187		800.0	1.8899	4	78%	1	0	0
Appario Retail Private Ltd	2390.00	302,342		1491.0	2.6585	4.5	93%	1	1	0
