Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
GoodAsNew!	5995.00	205		0.0	1.0	3.5	67%	1	0	0
e-Bazar	5995.00	44		0.0	1.0	3	52%	1	0	1
Growmart	5999.00	5		4.0	1.0007	3.5	60%	1	0	0
